Num,Team Name,Team Members,Score,Entries
228,RKR,RKR,0.5524,2
229,Ramita Temtae,Ramita Temtae,0.55251,5
230,Miguel Fierro,Miguel Fierro,0.5527,10
231,litaiyi,litaiyi,0.55277,10
232,Ravi Sankar,Ravi Sankar,0.55287,3
233,Ioannis Ioannou,Exterminator,0.55292,27
234,Scott Goodfriend,Scott Goodfriend,0.55296,10
235,Vladimir Larin,Vladimir Larin,0.55321,3
236,Roberto Spadim,Roberto Spadim,0.55339,1
237,Minnilyn,Minnilyn,0.55339,2
238,Nathan,Nathan,0.55339,2
239,Behrang,Behrang,0.55339,1
240,Ricardo Yamamoto Abe,Ricardo Yamamoto Abe,0.55344,7
241,Patorn Utenpattanun,Patorn Utenpattanun,0.55375,1
242,Hamel,Hamel Husain,0.55399,5
243,AjaykumarManimala,AjaykumarManimala,0.55407,2
244,deep-isazi,DarioFanucchiJasonPerlowDevin-TaylorJamesAllinghamAshaTailor,0.55421,2
245,Momchil Georgiev,Momchil Georgiev,0.55426,3
246,Kasper P. Lauritzen,Kasper P. Lauritzen,0.55469,4
247,Rohit Ghosh,Rohit Ghosh,0.555,7
248,numpy,numpy,0.5551,42
249,zipp,zipp,0.55521,1
250,Sum 41 - In Too Deep,317070fgMatthiasF+5,0.55555,19
251,dionseow,dionseow,0.55611,7
252,Xavier Van Ausloos,Xavier Van Ausloos,0.55681,3
253,pittzzll,pittzzll,0.55704,1
254,Evgeny Mun,Evgeny Mun,0.55713,8
255,dvsTeam,Rui QuintinoRui Barbosa,0.55714,16
256,Escape_Master,bingzhewuZCLiu,0.55719,15
257,DavidHansen,DavidHansen,0.55721,20
258,slonoslon,slonoslon,0.55758,13
259,Sreenivasulu Puli,Sreenivasulu Puli,0.55812,3
260,Dmitry Kozlov,Dmitry Kozlov,0.55863,3
261,Bogdan Ghenea,Bogdan Ghenea,0.55888,2
262,Feng Zhu,Feng Zhu,0.55901,1
263,Danny P.,dportman,0.55913,3
264,Mikhail Kuznetsov,Mikhail Kuznetsov,0.55916,8
265,Byeong-wooJeon,Byeong-wooJeon,0.55924,21
266,MichaelXu,MichaelXu,0.55986,9
267,Nick Sarris,Nick Sarris,0.56014,12
268,Lung Fung Soup,Siddharth Chandrakant,0.56018,4
269,Balzano,Francesco CivardiChiarac,0.56058,2
270,phunter,phunter,0.56058,3
271,Amy Li,Amy Li,0.56058,1
272,HanWang,HanWang,0.56066,1
273,anokas,anokas,0.56077,5
274,sva_shz,my own sva,0.56078,2
275,DataGeek,DataGeek,0.56078,5
276,meefly,meefly,0.56078,5
277,DarkLungs,Nir Malbin,0.56109,4
278,Valeriu Radu,Valeriu Radu,0.56112,5
279,Damodar,Damodar,0.56114,9
280,kumargayatri,kumargayatri,0.56127,3
281,Zombie,Zombie,0.5613,3
282,geop5,geop5,0.5613,1
283,Lawrence Chernin,Lawrence Chernin,0.5613,1
284,Jing Lu,Jing Lu,0.5613,1
285,mr_yogurt,mr_yogurt,0.5613,4
286,Steve Joly,Steve Joly,0.5613,3
287,Ayman Khalafallah,Ayman Khalafallah,0.5613,2
288,dalgacik,dalgacik,0.5613,1
289,Chuan Wang,CW,0.5613,13
290,Meng Ze,Meng Ze,0.5613,1
291,kaggle446,kaggle446,0.5613,4
292,Teracrator,Teracrator,0.5613,6
293,AlenJacob,AlenJacob,0.5613,2
294,Kannappan Sirchabesan,Kannappan Sirchabesan,0.5613,2
295,keras_cures,IsaacMcKillen-Godfried,0.5613,3
296,james,james,0.5613,10
297,Keiku,Keiku,0.5613,1
298,DL_RL_AI,Zhou,0.56154,7
299,PulkitChaturvedi,PulkitChaturvedi,0.56164,2
300,Mukesh Maji,Mukesh Maji,0.56171,2
301,Amith Ferris Prabhu,Amith Ferris Prabhu,0.56171,3
302,RaghavendraKommavarapu,RaghavendraKommavarapu,0.56171,1
303,Aakshi Sharma,Aakshi Sharma,0.56171,1
304,jaleto,jaleto,0.56178,14
305,Yu Hai,Yu Hai,0.56213,24
306,alijs,alijs,0.56213,4
307,Udaya Bhanu,Udaya Bhanu,0.56213,1
308,Daniel Chin,Daniel Chin,0.56213,1
309,need more gpus,KyleLee,0.56213,4
310,Lê Quang Nam,Lê Quang Nam,0.56213,1
311,Jmh1,Jmh1,0.56213,6
312,cromatog,cromatog,0.56234,2
313,philrs5,philrs5,0.56259,5
314,Clinical Persona,Ljubomir Buturovic,0.56291,3
315,GaryLong,GaryLong,0.56332,3
316,rAyyy,rAyyy,0.56378,21
317,chel17,chel17,0.56382,1
318,Ivanhoe,Ivanhoe,0.56387,17
319,Komaki,Komaki,0.56392,25
320,PiotrLewanda,PiotrLewanda,0.5644,2
321,ethanhwang,ethanhwang,0.56444,4
322,happycube,happycube,0.56448,4
323,Amaze me.,personanondataneongen,0.56481,3
324,CuteChibiko,CuteChibiko,0.56483,1
325,wjqdr,wjqdr,0.56491,3
326,wyqTeam,wyqGraduate,0.56491,4
327,n01z3,n01z3,0.56491,12
328,fanlu,fanlu,0.56491,1
329,dsodor,dsodor,0.56491,1
330,Sushant Magoo,Sushant Magoo,0.56491,1
331,wgx998877,wgx998877,0.56546,4
332,Transfunctioner,Transfunctioner,0.56554,4
333,Vitaly Bondar,Vitaly Bondar,0.56583,1
334,competitor,competitor,0.56625,12
335,Phillip Gurbacki,Phillip Gurbacki,0.56629,7
336,Finlay Liu,Finlay Liu,0.56732,1
337,I pass,Jules,0.56792,29
338,ea,erkut,0.56799,4
339,BAH_NA**2,Charles LilescsgwonBenjaminelvientowjf,0.56805,17
340,Jughead,Jughead,0.5681,3
341,Li-Der,Li-Der,0.56828,28
342,Yan Xu,Yan Xu,0.56884,1
343,markov,markov,0.5689,42
344,TeraFlops,Une frite une fois,0.56965,7
345,darth-vader,darth-vader,0.56965,1
346,CodeSt,CodeSt,0.56974,3
347,MT,MT,0.56995,1
348,kirk,kirk,0.57028,1
349,Liang Pang,Liang Pang,0.57043,3
350,dddanmar,dddanmar,0.57043,1
351,teemo,teemo,0.57043,1
352,Colin,Colin,0.57043,8
353,dive_to_deep,DaeYoungParkHwiyoungKimKeeyoung Kim,0.57043,5
354,??,zuchunshan,0.57043,1
355,SH426,Jacqueline,0.57043,1
356,TB Wu,TB Wu,0.57047,1
357,MESC Labs,Waleed A. Yousefahmed anis,0.57072,3
358,jingzhe,jingzhe,0.57072,1
359,Changhan Wang,Changhan Wang,0.57072,8
360,BunnyZora,BunnyZoraqianlongzhao,0.57072,1
361,terrypang,terrypang,0.57091,1
362,Ashish Shah,Ashish Shah,0.57091,4
363,lozcom,lozcom,0.57108,3
364,Rodrigo Kawatani,Rodrigo Kawatani,0.5724,2
365,snapperwhiffer,snapperwiffer,0.57241,2
366,Mamy Ratsimbazafy,Mamy Ratsimbazafy,0.57251,6
367,ZJU,?? ?,0.57306,7
368,FUUT,ChristineSwisherjrubin,0.57408,8
369,MLRush,MLRush,0.57408,1
370,blaster,IsakR,0.57412,1
371,AndrewMarsden,AndrewMarsden,0.57444,12
372,namakemono,namakemono,0.57476,3
373,Daniel Kim,danielrk,0.57618,9
374,Rokoson,Rokoson,0.57719,1
375,Chen Ken,Chen KenMuhanLiu,0.57762,13
376,Bryan Arnold,Bryan Arnold,0.57783,7
377,yyyy,yyyy,0.57908,7
378,RaihanMasud,RaihanMasud,0.57916,6
379,Deargen,Deargen,0.5801,17
380,Lebencare,Lebencaregurunathlong long,0.58088,2
381,Maarten,Maarten,0.58095,13
382,shuxin,shuxin,0.58159,3
383,CXQ,CXQ,0.5817,7
384,zgkydxbjwy,zgkydxbjwy,0.58249,15
385,Daniel FG,Daniel FG,0.5825,3
386,Ángel de Jaén,Ángel de Jaén,0.58266,5
387,j_scheibel,j_scheibel,0.58308,9
388,tkm2261,tkm2261,0.58425,10
389,Ahmed,Ahmed ,0.58425,1
390,buptxiaofeng,buptxiaofeng,0.58443,3
391,Kris Kegel Sørensen,Kris Kegel Sørensen,0.58446,13
392,RevatiJoshi,RevatiJoshi,0.58528,2
393,kazaimazai,kazaimazai,0.58637,1
394,RuiLog,RuiLog,0.58637,1
395,Omeprazole,Omeprazole,0.58644,1
396,drewdollas,drewdollas,0.58644,6
397,Cindy Xie,Cindy Xie,0.58704,1
398,Jonathan Shao,scip,0.58704,3
399,anonymous 12345,Parkinson Zabelin,0.58704,1
400,Sergey Shashkov,Sergey Shashkov,0.58766,4
401,Diogo,Diogo,0.58809,2
402,Gidi Shperber,Gidi Shperber,0.58832,4
403,DennisSakva,DennisSakva,0.58869,5
404,Zachary Destefano,Zachary Destefano,0.58886,42
405,c,******,0.58995,18
406,Ankasor,Ankasor,0.59026,10
407,Arsenal,Arsenal,0.59078,2
408,JungleXplorers,junglexplorerAbriosiSicko Cell,0.5908,15
409,YaZi,Junhong XuShangyueZhuHanqingGuo,0.59127,13
410,Botpi,Roma_141senen botello,0.59149,17
411,zczj,cunzhangDominikJack,0.59159,10
412,fergusoci,fergusoci,0.59179,11
413,Rzeznik,Rzeznik,0.5922,20
414,raddar,raddar,0.59255,1
415,rmldj,rmldj,0.59294,19
416,monkeytater,monkeytater,0.59351,10
417,Joshua Havelka,Joshua Havelka,0.59433,1
418,Serge Blok,Serge Blok,0.5945,1
419,hx2017,hx2017,0.59466,2
420,Charles Jekel,Charles Jekel,0.59479,10
421,Weimin Wang,Weimin Wang,0.59481,4
422,baa1,bXaYa,0.59513,21
423,real Kevin,Kevin,0.59553,3
424,HDSM,H. DangSiaMT,0.59563,32
425,cthines,Christopher Hines,0.59579,6
426,GarethJones,GarethJones,0.59588,15
427,ZhejunZheng,ZhejunZheng,0.59602,2
428,JZ,JZ,0.59615,21
429,Denis Zubo,Denis Zubo,0.59695,7
430,zhanyi658657,zhanyi658657,0.59697,5
431,natbel ML fun,natbel ML fun,0.59709,11
432,deep-6ix,jsardinhaash6320,0.59715,3
433,CharlesLu,CharlesLu,0.59732,16
434,Anton Petrov,Anton Petrov,0.59742,7
435,Rasim Akhunzyanov,Rasim Akhunzyanov,0.59769,4
436,carnieri,carnieri,0.59784,16
437,data_js,data_js,0.59784,16
438,BigMakk,Maksim Korolev,0.59797,6
439,Pestoid,ReliaSolvebill.kirchhoff,0.59822,5
440,SaurabhAgrawal,SaurabhAgrawal,0.59824,9
441,naive shuai,shuai,0.59839,1
442,AstuteGroup,BillJohnsonTylerCosner,0.59867,29
443,Trueyellow,Trueyellow,0.59903,7
444,Yuanpeng Wu,Yuanpeng Wu,0.59909,3
445,Oroto,Derek BroadheadCordeliaNeisingerDaniel Lavery,0.59942,20
446,Thomas SELECK,Thomas SELECK,0.59951,8
447,Sergey Korolev,Sergey Korolev,0.59962,3
448,Meng Zhang,Meng Zhang,0.59975,1
449,danieleewww,danieleewww,0.59983,27
450,qiaohuang,Joecomhuang,0.59984,8
451,Hengjian Jia,Hengjian Jia,0.60003,2
452,phung huynh xuan,phung huynh xuan,0.60016,5
453,ZZ01,ZZ01,0.60021,8
454,mamopublic,mamopublic,0.60024,10
455,lzwhite,lzwhite,0.60024,3
456,Anade Toussaint,Anade Toussaint,0.60024,3
457,Victor,Victor,0.60024,2
458,??????6??BGI?,Fengye LinChuang Yu,0.60024,4
459,TallBrian,TallBrian,0.60024,10
460,alex 3,alex,0.60024,2
461,Chandra,Chandra,0.60025,20
462,M Young,M Young,0.60025,14
463,felipelemos,felipelemos,0.60025,4
464,Fan Fei Chong,Fan Fei Chong,0.60031,1
465,Panos,Panos,0.60039,3
466,thatcher,thatcher,0.60039,4
467,iMinePatterns,iMinePatterns,0.60039,9
468,Andrey Kiryasov,Andrey Kiryasov,0.60039,3
469,Bart,Bart,0.60042,3
470,Marcin Pionnier,Marcin Pionnier,0.60043,4
471,raghakot,raghakot,0.60047,9
472,delylu,delylu,0.60055,6
473,DanBerman,DanBerman,0.60055,4
474,Jekyll,Jekyll,0.60057,1
475,PandaBambu,PandaBambu,0.60059,3
476,MiguelSuazoIbarra,MiguelSuazoIbarra,0.60059,7
477,Unbiased,Unbiased,0.60059,6
478,Karl Nyberg,Karl Nyberg,0.60059,12
479,Serhiy Danchenko,Serhiy Danchenko,0.60059,18
480,bad_news,AdamGatnar,0.60059,3
481,Rodney Thomas,Rodney Thomas,0.60061,11
482,NoahZhou,NoahZhou,0.60064,4
483,Jeffrey.Diwakar,Jeffrey.Diwakar,0.60065,7
484,n_lcd,Chirag MaheshwariPeilun Zhang,0.60071,7
485,Vladimir Iglovikov,Vladimir Iglovikov,0.60104,3
486,SPARC_LABS,Chris FalterHeath MillsMerricHuffstutlerjessie hermosilloAndrew Trice,0.60104,3
487,qinghe jin,qinghe jin,0.60119,4
488,freesoil,freesoil,0.60127,30
489,kymhorsell,kymhorsell,0.6014,6
490,inversion,inversion,0.60161,4
491,DavidS,DavidS,0.60163,6
492,MartinRajchl,mraj,0.60166,9
493,Matias Thayer,Matias Thayer,0.60179,5
494,KazMuzik,KazMuzik,0.60181,4
495,Emil,Emil,0.60187,2
496,Pallavi,Pallavi,0.60192,3
497,Rodrigo Salas,Rodrigo Salas,0.60192,1
498,Henryk,Henryk,0.60193,6
499,LukaszN,LukaszN,0.60196,2
500,JSRod,JSRod,0.60206,1
501,??(? ? ?)?,??(? ? ?)?,0.6022,1
502,Patrik Drhlik,Patrik Drhlik,0.60221,4
503,Tinh Tran,Tinh Tran,0.60222,2
504,Brochenin,Brochenin,0.60222,3
505,BT Arr & Aye,Andrew Ferguson,0.60222,3
506,Paul Jurczak,Paul Jurczak,0.60222,1
507,AliJ,AliJ,0.60222,2
508,e496,e496,0.60224,5
509,Sun'sOutFun'sOut,Sun'sOutFun'sOut,0.60235,2
510,damdam1,damdam1,0.60235,2
511,Gustavo Pérez Sarabia,Gustavo Pérez,0.60235,6
512,Alex Chao,Alex Chao,0.60235,1
513,MikeIan,MikeJaronIanCJohnson,0.60235,1
514,SagData,RichenWeiMamy Rajao,0.60235,1
515,Casey Van Buren,Casey Van Buren,0.60235,1
516,Adrian Hegner,Adrian Hegner,0.60235,1
517,omarsamir,omarsamir,0.60235,1
518,VictorShen,VictorShen,0.60235,3
519,AMZ,AMZ,0.60235,3
520,peixiang,peixiang,0.60235,2
521,ZheWang,ZheWang,0.60235,11
522,xn0px90,xn0px90,0.60235,4
523,Analytics-In-Genes,Jayaraman,0.60235,1
524,Dipanjan,Dipanjan,0.60235,1
525,pierre dodin,pierre dodin,0.60235,1
526,ssemenyuk,ssemenyuk,0.60235,1
527,?? ?,Sonic,0.60235,1
528,danidarshit,danidarshit,0.60235,1
529,sb,sb,0.60235,1
530,Gabriel Altay,Gabriel Altay,0.60235,2
531,Evan Thompson,Evan Thompson,0.60235,1
532,romandovega,romandovega,0.60235,1
533,Ricky,Ricky,0.60235,1
534,Mathis Antony,Mathis Antony,0.60235,2
535,michfeld,michfeld,0.60235,4
536,Baschdl,Baschdl,0.60235,7
537,Jake Grimes,Jake Grimes,0.60235,2
538,KevinXiao,KevinXiao,0.60235,1
539,Stephen Camera-Murray,Stephen Camera-Murray,0.60235,1
540,Felix,Felix,0.60235,1
541,zwu52,zwu52,0.60235,1
542,Guilherme Campos,Guilherme Campos,0.60235,1
543,g_tensor,g_tensor,0.60235,2
544,xyzeng,xyzeng,0.60235,3
545,Boris Klyus,Boris Klyus,0.60235,16
546,JuliaDills,JuliaDills,0.60235,3
547,Prince of Persia,Prince of Persia,0.60235,2
548,DanielSiegle,DanielSiegle,0.60235,1
549,Alex Cui,Alex Cui,0.60235,3
550,Nina Mrzelj,Nina Malina,0.60235,1
551,Wichai,Wichai,0.60235,1
552,Paul Fornia,Paul Fornia,0.60235,2
553,Yiyang Zhan,Yiyang Zhan,0.60235,1
554,DanaradjeRamachandirane,DanaradjeRamachandirane,0.60235,1
555,Ron Oliver,Ron Oliver,0.60235,2
556,no name yet,Terrill,0.60235,1
557,Vinh Nguyen,Vinh Nguyen,0.60235,1
558,AngMingliang,AngMingliang,0.60235,1
559,BAH_KOKO,KOKO,0.60235,1
560,ChipMonkey,ChipMonkey,0.60235,1
561,Will Nicholson,Will Nicholson,0.60235,1
562,BAH_natomy,Josh Bakercfried123hatfieldm48+8,0.60235,2
563,Peter Abdou,Peter Abdou,0.60235,1
564,David Shinn,David Shinn,0.60235,1
565,Kelvin,Kelvin,0.60235,12
566,Pelham,Pelham,0.60235,1
567,SuparMUCAC,BKrausptrblckCGil,0.60235,24
568,evya,evya,0.60236,1
569,Mohammed El Batya,Mohammed El Batya,0.60236,2
570,Lea Bellai,Lea Bellai,0.60236,5
571,SebastianBoyd,Chris Boyd,0.60236,1
572,miguel perez,miguel perez,0.60236,1
573,Andrew Beam,Andrew Beam,0.60237,2
574,UnicornMarkets,UnicornMarkets,0.60237,1
575,Niall Moran,Niall Moran,0.60245,3
576,K.G.J.,K.G.J.,0.6025,4
577,J__C,J__CShelby McIntyre,0.60251,4
